Book_ID,Title,Author,Genre,Published_Year,Price,Stock
35,Multi-channeled mission-critical initiative,Michelle Hanson,Fantasy,2015,37.17,93
36,Organic attitude-oriented support,Kayla Clarke,Non-Fiction,1920,24.93,78
37,Function-based human-resource migration,Lauren Hall,Non-Fiction,1998,38.54,12
38,Re-engineered disintermediate definition,Cheryl Anderson,Fantasy,1911,11.99,36
39,Innovative 3rdgeneration database,Allison Contreras,Fantasy,1988,49.23,62
40,Cloned cohesive attitude,Daniel Walsh,Science Fiction,1969,9.6,39
41,Optimized human-resource forecast,Rachel Travis,Romance,1900,35.88,39
42,Customizable optimal infrastructure,Robert Garcia,Mystery,2013,35.77,45
43,Cross-group analyzing matrix,Nancy Griffith,Fiction,1914,37.28,53
44,Configurable disintermediate extranet,Melissa Lewis,Mystery,1953,28.22,2
45,User-centric composite projection,Jordan West,Romance,1991,20.11,37
46,Diverse zero tolerance service-desk,Ashley Jackson,Romance,1960,27.03,55
47,Stand-alone methodical implementation,Kim Wilson,Biography,1940,9.56,94
48,Optional 6thgeneration task-force,Jesse Morgan,Non-Fiction,1996,48.55,65
49,Vision-oriented 5thgeneration analyzer,Amber Hayden,Romance,1909,40.78,5
50,Re-contextualized logistical throughput,Danielle Alvarez,Romance,2009,5.63,87
51,Reactive high-level framework,Miguel Smith,Non-Fiction,1935,45.75,18
52,Universal homogeneous adapter,Gina Lopez,Romance,1966,40.17,1
53,Digitized uniform Internet solution,Douglas Malone,Mystery,1929,6.26,70
54,Enterprise-wide empowering circuit,Steven Hutchinson,Mystery,1906,36.25,9
55,Open-architected 3rdgeneration budgetary management,Carolyn Schmidt,Science Fiction,1909,34.49,7
56,Advanced reciprocal time-frame,Pamela Crawford,Non-Fiction,2007,13.61,71
57,Open-source radical capability,Victoria Galloway,Romance,1907,12.73,26
58,Down-sized radical orchestration,Crystal Hall,Non-Fiction,1987,44.05,89
59,Enhanced grid-enabled budgetary management,Betty Cross,Non-Fiction,1993,48.48,93
60,Streamlined 6thgeneration collaboration,Susan Reeves,Science Fiction,2013,40.72,65
61,Ergonomic disintermediate project,Jill Padilla,Non-Fiction,2000,27.42,68
62,Monitored eco-centric framework,Kelly Rodriguez,Fiction,1970,16,94
63,Synchronized mission-critical process improvement,Samantha Stewart,Science Fiction,1913,33.39,82
64,Customizable directional matrices,Alyssa Lopez,Fiction,1960,44.29,7
65,Sharable heuristic conglomeration,Garrett Campbell,Mystery,1916,15.9,54
66,Inverse grid-enabled attitude,Kara Schwartz,Fantasy,1939,27.76,10
67,Monitored value-added focus group,Mary Pollard,Science Fiction,1942,45.58,4
68,Configurable 3rdgeneration synergy,Teresa Bell,Fantasy,1944,22.09,81
69,Horizontal disintermediate alliance,Rodney Ward,Non-Fiction,1951,8.84,55
70,Synergized fresh-thinking monitoring,Christopher Dixon,Romance,1965,19.48,31
71,Quality-focused methodical matrix,Dennis Hernandez,Mystery,1922,11.9,76
72,Cross-platform 24hour artificial intelligence,Dawn Coleman,Romance,2002,42.58,95
73,Innovative asymmetric utilization,Darryl Price,Romance,1966,22.73,66
74,Ergonomic zero-defect software,Denise Mclaughlin,Fantasy,1965,18,46
75,Triple-buffered upward-trending artificial intelligence,John Shannon,Biography,2021,32.82,98
76,Synergized analyzing solution,Tammy Cervantes,Non-Fiction,1990,24.23,45
77,Object-based secondary knowledgebase,Eric Shepherd,Mystery,1935,40.5,84
78,Implemented systematic leverage,Daisy Johnson,Romance,1943,25.63,14
79,Grass-roots systematic moderator,Joyce Patton,Fantasy,1919,45.91,39
80,Exclusive zero administration superstructure,John Pearson,Fiction,1901,40.05,58
81,Proactive radical application,Kevin Mosley,Biography,1907,33.14,35
82,Enterprise-wide multimedia initiative,Theresa Rice,Non-Fiction,1981,9.28,25
83,Proactive client-driven knowledgebase,Jeremy Ware,Fantasy,1927,31.88,83
84,Persistent radical neural-net,Christopher Jones,Science Fiction,1945,46.61,48
85,Expanded maximized portal,Tina Stevenson,Science Fiction,2018,49.1,96
86,Enhanced next generation standardization,Anthony Nguyen,Fantasy,1976,29.51,18
87,Organized directional Internet solution,Amanda Carrillo,Fiction,1999,22.55,93
88,Cross-platform grid-enabled capacity,Kimberly James,Fantasy,1997,10.35,89
89,Profound zero-defect process improvement,Lisa Alexander,Biography,1921,9.83,5
90,Profit-focused solution-oriented open system,Aaron Hall Jr.,Romance,2012,15.03,83
91,Team-oriented tangible ability,Veronica Hebert,Science Fiction,2005,44.33,42
92,Innovative directional project,Jerry Burch,Mystery,1941,21.56,49
93,Decentralized tertiary customer loyalty,William Roberts,Fiction,1946,10.07,2
94,Mandatory executive groupware,Michelle Bell,Romance,1947,42.19,50
95,De-engineered methodical capacity,James Gonzalez,Fiction,2006,35.79,50
96,Fundamental regional capacity,Samantha Hawkins,Mystery,1916,7.42,98
97,Face-to-face multi-tasking Internet solution,Kevin Pittman,Mystery,1915,15.65,69
98,Persevering incremental strategy,David Miller,Fiction,1928,15.01,82
99,Streamlined multimedia capability,Anthony Vaughn,Mystery,1982,21.38,24
100,Managed eco-centric hierarchy,Debbie Lopez,Mystery,1997,31.72,37
101,Multi-channeled context-sensitive adapter,Jeremiah Dyer,Fantasy,1915,34.57,47
102,Distributed regional collaboration,Juan Reynolds,Biography,2007,14.34,25
103,Programmable context-sensitive forecast,Evelyn Cox,Mystery,1998,33.41,50
104,Object-based secondary emulation,Angela Richard,Science Fiction,1969,28.15,50
105,Assimilated local complexity,Paul Smith,Mystery,1967,22.34,97
106,Proactive impactful attitude,Travis Thompson,Non-Fiction,1945,34.05,19
107,Integrated well-modulated Graphic Interface,Karen Reese,Fantasy,1994,27.15,59
108,Triple-buffered multimedia access,Nathan Ashley,Fantasy,1987,44,44
109,Horizontal hybrid emulation,Jeanne Brown,Fantasy,1963,35.52,86
110,Face-to-face 6thgeneration attitude,Erica Olson,Romance,2009,33.42,35
111,Versatile mission-critical customer loyalty,Rachel Case,Biography,1947,39.96,35
112,Robust holistic solution,Jennifer Nelson,Romance,1928,25.39,89
113,Distributed transitional solution,Marilyn Camacho,Science Fiction,1917,26.62,5
114,Grass-roots disintermediate analyzer,Amber Davis,Non-Fiction,1979,47.42,6
115,Synchronized 24/7 analyzer,Dawn Hart,Romance,1944,6.36,71
116,Right-sized holistic productivity,Geoffrey Burnett,Fantasy,1962,27.25,65
117,Multi-channeled needs-based intranet,Molly Roberts,Romance,1911,33.92,46
118,Optional clear-thinking task-force,Samuel Morales,Mystery,1927,42.17,71
119,Implemented background approach,Megan King,Romance,2012,33.19,27
120,Total foreground alliance,Anthony Wilson,Non-Fiction,1977,10.6,14
121,Universal fault-tolerant array,Michael Johnson,Science Fiction,1984,13.17,78
122,Digitized zero-defect access,Angela Stewart,Non-Fiction,1916,5.7,95
123,Future-proofed heuristic function,Samantha Mcclain,Romance,1903,6.01,0
124,Realigned 6thgeneration infrastructure,Jennifer Hughes,Mystery,2007,39.79,55
125,Mandatory full-range middleware,Debra Horn,Romance,1997,29.26,76
126,Fully-configurable disintermediate solution,Cynthia Jones,Mystery,1993,34.15,55
127,Operative non-volatile parallelism,Wendy Walker,Science Fiction,1987,24.26,72
128,Exclusive dynamic approach,Michelle Mercado,Fiction,1911,39.09,49
129,Realigned mobile focus group,Michael Jackson,Fiction,1905,17.73,42
130,Multi-tiered methodical paradigm,Vicki Vance,Non-Fiction,1959,17.4,43
131,Synergistic user-facing frame,David Olson,Non-Fiction,1977,43.91,97
132,Diverse responsive focus group,Ashley Chavez,Biography,1966,22.65,100
133,Stand-alone logistical installation,Elizabeth Williams,Biography,1913,44.6,97
134,Universal analyzing support,Eric Taylor,Fiction,1940,29.32,35
135,Re-contextualized national secured line,Robert Wilson,Fiction,1922,13.1,4
136,Synchronized impactful synergy,Megan Gutierrez,Science Fiction,1955,10.64,99
137,Persevering scalable leverage,Angel Shepherd,Science Fiction,1923,43.82,86
138,Proactive explicit capability,Tony Curtis,Romance,1915,7.48,52
139,Profit-focused multimedia throughput,Andrea Lucas,Fiction,1933,29.43,64
140,Optional object-oriented pricing structure,Jenna Johnson,Romance,1957,39.75,71
141,Profound tertiary encoding,Jennifer Jones,Non-Fiction,2020,49.34,73
142,Secured maximized time-frame,Megan Burton,Romance,1970,28.19,99
143,Right-sized intangible infrastructure,Stephanie Clayton,Biography,1962,7.18,29
144,Intuitive value-added product,Hunter Odom,Non-Fiction,1983,11.85,27
145,Front-line modular moratorium,Timothy Williams,Biography,1957,25.65,44
146,Reduced systematic forecast,Christine Martin,Romance,1987,8.1,34
147,Enhanced holistic solution,Jeremy Hughes,Mystery,1927,21.09,41
148,Public-key intangible frame,Katherine Fry,Romance,1984,46.97,41
149,Intuitive intermediate paradigm,Scott Bowman MD,Science Fiction,1927,6.01,97
150,Decentralized demand-driven middleware,Carmen Johnson,Fantasy,1972,34.98,42
151,Exclusive 24hour groupware,Brian Baker,Romance,2008,31.67,49
152,Monitored interactive focus group,Thomas Chung,Non-Fiction,2013,44.36,51
153,Object-based contextually-based model,Amber Patterson,Romance,1907,12.62,22
154,Synergistic exuding website,Angelica Elliott,Mystery,1906,6.1,86
155,Object-based asynchronous moratorium,Jennifer Oliver,Fantasy,1965,9.97,23
156,Function-based disintermediate intranet,Michael Johnson,Science Fiction,1920,25.89,78
157,Optimized holistic approach,Brittney Brown,Romance,1990,39.63,27
158,De-engineered grid-enabled secured line,Marissa Smith,Mystery,2006,43.03,86
159,Digitized regional monitoring,Kenneth Finley,Fiction,1969,17.11,84
160,Robust multimedia support,Scott Murphy,Non-Fiction,1933,19.59,42
161,Proactive system-worthy orchestration,Robert Scott,Mystery,1907,49.98,88
162,Centralized uniform extranet,Steven Mcdonald,Romance,2014,43.51,68
163,Seamless analyzing encoding,Kevin Garcia,Mystery,1949,10.17,61
164,Progressive impactful structure,Karen Moreno,Fantasy,1901,34.28,44
165,Organized high-level algorithm,Grace Waller,Fantasy,2006,24.08,26
166,Adaptive bi-directional implementation,Alexandra Cox,Romance,1938,47.29,23
167,Synergistic fault-tolerant attitude,Robert Bullock,Mystery,1913,35.68,88
168,Advanced responsive extranet,Mark Chavez DDS,Fantasy,1959,27.76,29
169,Quality-focused mobile migration,Tanya Brandt,Biography,1968,49.08,17
170,Profit-focused systematic project,Dennis Hooper,Fiction,1936,15.36,89
171,Assimilated user-facing approach,Roy Wolf,Biography,1990,32.02,25
172,Multi-tiered dedicated encryption,Jacob Fischer,Fiction,1973,38.49,27
173,Sharable intermediate task-force,Andrew Cervantes,Science Fiction,1940,10.26,28
174,Implemented zero-defect product,Kim Lee,Fiction,1984,21.4,29
175,Networked composite Internet solution,Victoria Wilson,Non-Fiction,1903,15.15,78
176,Proactive secondary help-desk,William Drake,Romance,1981,40.4,50
177,Diverse dynamic contingency,James Duran,Fiction,1993,46.08,23
178,Balanced dynamic project,Kelly Hopkins,Biography,1976,35.83,2
179,Customizable object-oriented paradigm,Gail Lawson,Non-Fiction,1932,26.49,42
180,Polarized optimizing moratorium,Amanda Savage,Biography,1911,24.32,16
181,Ergonomic clear-thinking interface,Judith Gutierrez,Fantasy,1950,5.07,55
182,Distributed disintermediate groupware,Michael Mckenzie,Fantasy,1964,42.61,50
183,Cloned upward-trending installation,Sherry Kim,Fantasy,1921,40.11,94
184,Upgradable client-driven ability,Patricia Kennedy,Science Fiction,1961,29.2,13
185,Multi-tiered client-server methodology,Rebecca Chavez,Fantasy,1992,8.81,74
186,Virtual exuding Internet solution,Anne George,Fiction,2012,42.9,40
187,Decentralized discrete archive,Jordan Holt,Romance,1914,9.59,74
188,Profound client-driven paradigm,Nicole Olson,Non-Fiction,1997,47.16,53
189,Balanced multi-state monitoring,Clayton Garcia DDS,Biography,1946,36.47,13
190,Profit-focused static intranet,Kaitlyn Mills,Biography,1903,32.28,48
191,Reduced well-modulated database,Raymond Nicholson,Non-Fiction,2021,47.92,40
192,Mandatory homogeneous ability,George Sanchez,Fantasy,1939,11.74,77
193,Expanded maximized collaboration,Amanda Moore,Romance,2009,20.75,35
194,Expanded local infrastructure,Valerie Moore,Mystery,1914,14.43,7
195,Phased didactic product,Elizabeth Koch,Biography,1988,43.92,56
196,Down-sized bandwidth-monitored open system,Susan Robbins,Fantasy,1999,31.66,27
197,Front-line high-level emulation,Amber Joyce,Non-Fiction,1935,13.48,23
198,Open-source background extranet,Meredith Miller,Romance,1968,6.57,77
199,Ergonomic leadingedge portal,James Curtis,Fiction,1981,28.67,92
200,Polarized high-level installation,John Davidson,Fantasy,1975,21.66,77
201,Integrated fresh-thinking toolset,Joseph Jensen,Non-Fiction,1962,26.87,77
202,Centralized disintermediate array,Donald Wiggins,Fiction,1909,28.19,73
203,Assimilated composite archive,Mark Gibson,Fiction,1957,46.66,62
204,Advanced well-modulated architecture,Chad Craig,Fiction,2016,35.65,2
205,Triple-buffered heuristic adapter,Jennifer Johnson,Non-Fiction,1949,11.49,49
206,Persistent disintermediate artificial intelligence,Todd Davis,Non-Fiction,1977,28.66,65
207,Pre-emptive clear-thinking workforce,Craig Sanchez,Mystery,1964,42.53,29
208,Secured object-oriented secured line,Megan Kennedy,Fantasy,1955,17.93,58
209,Fully-configurable mission-critical artificial intelligence,Rachel Adkins,Mystery,2017,26.94,2
210,Compatible impactful interface,Rachael Kelley,Biography,1957,7.77,13
211,Expanded analyzing forecast,Holly Golden,Mystery,1988,43.81,31
212,Inverse asynchronous superstructure,Lacey Lang,Mystery,1959,20.12,66
213,Re-contextualized real-time Graphic Interface,Erica Parker,Science Fiction,1908,27.91,9
214,Exclusive encompassing pricing structure,Cynthia Diaz,Science Fiction,1994,40.19,32
215,Sharable client-driven contingency,Joseph Crawford,Non-Fiction,1900,8.29,84
216,Devolved secondary function,Sheila Nelson,Science Fiction,1914,27.65,34
217,Progressive 24hour artificial intelligence,Peter Cabrera,Science Fiction,1906,15.21,99
218,Phased value-added access,Jessica Johnson,Non-Fiction,1903,17,94
219,Configurable local emulation,Russell Castillo,Biography,2016,38.19,3
220,Fundamental object-oriented productivity,Robert Hatfield,Mystery,1931,16.34,83
221,Balanced next generation forecast,Aaron Rangel,Non-Fiction,1977,16.78,97
222,Upgradable radical adapter,Elizabeth Wilson,Non-Fiction,2008,30.5,28
223,Exclusive asymmetric installation,Benjamin Flores,Fiction,1901,48.61,69
224,Progressive user-facing customer loyalty,Ashley Cunningham,Biography,1909,33.21,95
225,Profound radical access,Ryan Clark,Romance,1911,19.85,32
226,Team-oriented dedicated attitude,Jeffrey Richardson,Biography,2006,25.83,91
227,Automated systemic functionalities,Matthew Thomas,Fiction,1903,48.8,72
228,Devolved zero administration process improvement,Emily James,Romance,1929,12.43,23
229,Intuitive 4thgeneration intranet,Daniel Gillespie,Mystery,1959,5.16,79
230,Intuitive intangible circuit,Robin Mejia,Science Fiction,1974,22.08,82
231,Organized logistical architecture,Christopher Martinez,Romance,1919,13.17,25
232,Decentralized disintermediate Internet solution,Jerry Fisher,Romance,1963,33.08,42
233,Monitored 5thgeneration challenge,Billy Aguilar,Biography,1960,8.1,62
234,Expanded demand-driven database,Gary Williams,Biography,1905,37.49,24
235,Persevering disintermediate application,Jeremy Bailey,Non-Fiction,1927,33.29,92
236,Adaptive homogeneous moratorium,Jennifer Johnson,Non-Fiction,1926,46.6,66
237,De-engineered local interface,Wayne Hall,Biography,2015,20.51,47
238,Right-sized bifurcated definition,Kayla Wilkinson,Fiction,1965,9.79,3
239,Team-oriented content-based adapter,Dr. Kimberly Stevenson DVM,Biography,1979,21.02,86
240,Intuitive content-based toolset,Christopher Fuentes,Science Fiction,1964,14.25,52
241,Business-focused methodical application,Brian King,Fiction,1907,49.59,10
242,Pre-emptive incremental secured line,Jason Perez,Science Fiction,1994,14.48,1
243,Robust systemic Graphical User Interface,Kyle Carter,Mystery,1916,9.95,6
244,Multi-channeled 24/7 functionalities,William Pierce,Romance,1935,21.14,33
245,Digitized multi-state circuit,Sarah Walker,Biography,1981,36.86,77
246,Switchable impactful superstructure,Amber Wells,Science Fiction,1906,24.51,24
247,Team-oriented bandwidth-monitored project,Jacqueline Ramsey,Mystery,1916,42.57,100
248,Horizontal didactic structure,Robert Rodriguez,Fiction,1961,11.66,21
249,Down-sized high-level encoding,Gabriela Russell MD,Fiction,1902,12.62,43
250,Seamless 5thgeneration challenge,Michelle Harris,Fiction,1906,8.87,98
251,Devolved incremental intranet,Jessica Lopez,Science Fiction,1918,12.65,13
252,Fundamental national infrastructure,Nancy Austin,Fiction,1928,32.95,58
253,Cross-group responsive protocol,Cathy Knight,Science Fiction,2021,46.99,68
254,Innovative actuating instruction set,Ashley Hill,Science Fiction,1934,24.42,45
255,Visionary actuating ability,Paul Taylor,Biography,1940,7.43,98
256,Automated client-driven open architecture,Jose Brown,Non-Fiction,2000,16.06,18
257,Managed radical superstructure,David Hoover,Science Fiction,1968,7.37,88
258,Automated systemic toolset,Tiffany Conley,Fantasy,1953,8.87,65
259,Business-focused responsive parallelism,Amy Reyes,Mystery,1954,33.79,38
260,Up-sized fault-tolerant hub,Taylor Wang,Fantasy,2015,14.06,38
261,Stand-alone content-based hub,Lisa Ellis,Fantasy,1957,49.9,41
262,Devolved encompassing intranet,Linda Rasmussen,Science Fiction,1922,44.51,55
263,Optimized even-keeled analyzer,Sherri Griffith,Fantasy,1975,48.97,72
264,Down-sized holistic hardware,Paul Williams,Mystery,1905,40.43,42
265,Assimilated disintermediate ability,Christopher Anderson,Romance,1948,10.78,87
266,Organized secondary protocol,Andrew Brown,Fantasy,1957,15.66,19
267,Total reciprocal monitoring,Reginald Chavez,Science Fiction,2006,7.15,9
268,Team-oriented client-driven adapter,Adrian Avery,Mystery,2011,10.39,47
269,Monitored 24/7 groupware,Vicki Mcgee,Science Fiction,1925,9.62,1
270,Polarized maximized challenge,Steven Davis,Non-Fiction,1986,9.37,84
271,Optional cohesive methodology,Jerome Lee,Science Fiction,1977,6.1,59
272,Managed hybrid array,Charles Smith,Romance,1965,20.46,78
273,Managed object-oriented hardware,Ashley Gonzalez,Romance,1975,30.75,5
274,Centralized context-sensitive functionalities,Virginia Levine,Non-Fiction,1900,38.17,78
275,Devolved optimizing leverage,Thomas Anderson,Fantasy,1913,27.22,68
276,Synergized foreground website,Carrie Ware,Biography,1976,36.04,26
277,Multi-channeled coherent protocol,Joseph Jensen,Non-Fiction,2007,42.15,80
278,Virtual holistic Internet solution,Lauren Merritt,Mystery,1944,6.52,95
279,Virtual fault-tolerant model,Scott Wells,Science Fiction,1928,29.59,75
280,Re-engineered solution-oriented extranet,Robert Castaneda,Biography,1988,24.81,2
281,Multi-lateral zero-defect matrix,Nicole Hughes,Fiction,1904,16.51,60
282,Reactive bandwidth-monitored architecture,Michele Williams,Mystery,1961,20.9,32
283,User-friendly tertiary forecast,Malik Stephens,Mystery,1948,5.36,34
284,Open-source 3rdgeneration secured line,Christina Terrell,Non-Fiction,2019,35.38,98
285,Down-sized mobile extranet,Mary Carter,Mystery,2019,24.63,92
286,Organic 24/7 focus group,Marco Travis,Biography,1910,25.16,37
287,Fundamental methodical open architecture,Jeffery Green,Fiction,2005,18.16,47
288,Synchronized transitional alliance,Joseph Holt,Mystery,1903,6.79,35
289,Diverse 4thgeneration knowledge user,Lindsey Lucas,Science Fiction,1950,18.69,35
290,Centralized asymmetric data-warehouse,Dana Ibarra,Biography,1944,16.19,44
291,Centralized 6thgeneration model,Yolanda Mclean,Science Fiction,1971,40.93,51
292,Distributed modular capability,Nicole Berger,Mystery,1979,48.67,63
293,Synergized intangible methodology,Ellen Doyle,Fantasy,1917,25,83
294,Total intangible application,Michael Booker,Non-Fiction,1922,6.67,53
295,Digitized executive flexibility,Lisa Lopez,Non-Fiction,1960,38.01,84
296,De-engineered attitude-oriented software,Anthony Martin,Fantasy,1990,5.83,8
297,Business-focused foreground model,Heather Zavala,Romance,1921,26.52,59
298,Self-enabling mobile software,Stephanie Frost,Non-Fiction,2003,27.22,52
299,Balanced optimal open architecture,Lindsey Johnson,Mystery,1964,12.26,32
300,Secured 24/7 groupware,Alexander Smith,Non-Fiction,1915,37.25,11
301,Right-sized modular synergy,Marie Smith,Science Fiction,1939,9.96,32
302,Configurable fault-tolerant interface,Mark Parker,Mystery,1923,42.81,1
303,Persevering tertiary product,Michael Lee,Biography,1917,22.38,80
304,Organized content-based core,Brandon Martin,Mystery,1980,43.03,9
305,Phased context-sensitive task-force,Rachel Gibbs,Science Fiction,1934,6.69,24
306,Sharable tangible collaboration,Christian Ward,Biography,2021,11.63,20
307,Digitized content-based time-frame,Deborah White,Science Fiction,1982,33.88,64
308,Customer-focused tertiary methodology,Justin Garcia,Fantasy,1954,29.54,100
309,Phased solution-oriented collaboration,Nicholas Roth,Romance,1930,48.37,71
310,Multi-layered 24hour infrastructure,Casey Moreno,Romance,1911,42.19,8
311,Cross-platform even-keeled focus group,Andrew Parker,Science Fiction,2016,38.36,4
312,Grass-roots eco-centric task-force,Brandon Munoz,Mystery,1989,13.65,88
313,Switchable value-added conglomeration,Clinton Mcintyre MD,Science Fiction,2014,20.14,73
314,Total well-modulated groupware,Kenneth Phillips,Fiction,1989,22.98,7
315,Sharable executive conglomeration,Pam Price,Mystery,1938,41.33,4
316,Networked object-oriented definition,Kelly Vazquez,Fiction,1940,21.98,10
317,Enterprise-wide solution-oriented challenge,Megan Jones,Fantasy,1978,5.25,22
318,Total exuding project,Richard Curtis,Mystery,2001,15.4,6
319,Reduced bottom-line forecast,Virginia Butler,Mystery,2014,23.76,9
320,Balanced object-oriented Graphic Interface,Dylan Christensen,Romance,1987,38.73,85
321,Front-line discrete complexity,David Rodriguez,Science Fiction,2001,25.09,14
322,Innovative didactic capacity,Matthew Vazquez,Science Fiction,2009,48.21,66
323,Organized even-keeled conglomeration,Christopher Ray,Science Fiction,1970,27.89,31
324,Visionary exuding product,Christopher Johnson,Romance,1904,36.2,3
325,Fundamental system-worthy parallelism,Cameron Garcia,Fantasy,1924,16.11,52
326,Networked disintermediate projection,John Bradley,Biography,1910,32.85,39
327,Pre-emptive executive knowledge user,Rebecca Mann,Mystery,1951,37.83,18
328,Ergonomic foreground Graphic Interface,Patrick Williams,Fiction,1948,6.07,100
329,Centralized homogeneous open system,Dennis Smith,Biography,1977,36.82,97
330,Integrated hybrid collaboration,Sarah Vincent,Science Fiction,2004,32.15,99
331,Optional stable matrix,Michael Wells,Non-Fiction,1947,11.28,62
332,Networked tertiary approach,Margaret Moore,Biography,1963,23.57,45
333,Vision-oriented radical capability,Tracy Parker,Mystery,2018,14.13,61
334,User-friendly radical standardization,Leon Davis,Science Fiction,1954,36.02,55
335,Customizable discrete Graphical User Interface,Rebecca Alexander,Romance,1951,11.02,56
336,Exclusive uniform superstructure,Carl Cantrell,Mystery,1912,32.1,19
337,Expanded scalable time-frame,Ashley Mason,Non-Fiction,2013,41.83,4
338,Object-based eco-centric challenge,Douglas Mccarthy,Non-Fiction,1905,19.11,0
339,Centralized maximized database,Tracy Pace,Mystery,1981,48.84,64
340,Focused high-level strategy,Stephanie Sloan,Fantasy,1963,21.6,11
341,Digitized cohesive emulation,Jared Cortez,Science Fiction,1924,34.48,65
342,Proactive 5thgeneration middleware,Brandon Foster,Biography,1999,36.21,49
343,Digitized optimal intranet,James Silva,Mystery,1919,24.69,40
344,Advanced didactic time-frame,Thomas Trujillo,Biography,2005,19.17,57
345,Synergistic grid-enabled website,Brandon Black,Fiction,1953,31.68,34
346,Optimized content-based standardization,Timothy Adams,Science Fiction,1901,49.96,88
347,Horizontal hybrid forecast,Alexander Wallace,Mystery,1919,17.44,19
348,Synergistic needs-based capability,Aaron Alvarez,Science Fiction,1950,8.05,52
349,Advanced dynamic complexity,Elizabeth Ayala,Fantasy,1983,46.77,84
350,Innovative real-time neural-net,David Miller,Non-Fiction,1998,33.87,38
351,Phased logistical open system,Jenna Henderson,Biography,1952,31.95,32
352,Expanded explicit solution,Tonya Robertson,Biography,1957,17.09,73
353,Upgradable contextually-based hierarchy,Jared Reyes,Fantasy,1941,12.25,97
354,Innovative empowering concept,Brad Vasquez,Science Fiction,1964,45.2,74
355,Stand-alone hybrid framework,Ethan Kennedy,Non-Fiction,1903,14.5,91
356,Phased eco-centric array,Barry Bennett,Fantasy,1905,22.53,57
357,Future-proofed scalable software,Matthew Wolf,Fiction,1945,19.27,90
358,Networked multimedia support,Nancy Goodman,Fiction,2012,43.65,50
359,Multi-tiered responsive parallelism,Amanda Wilson,Fiction,1940,48.96,11
360,Exclusive hybrid monitoring,Dr. Heather Boyd,Romance,1909,49.42,36
361,Assimilated asymmetric Local Area Network,Timothy Williams,Biography,2003,31.49,6
362,Synergistic analyzing intranet,Robert Garcia,Biography,1923,35.4,51
363,Profound zero-defect knowledgebase,Carolyn Garcia,Fantasy,1978,24.77,8
364,Networked contextually-based encryption,Leslie Montoya,Biography,1942,26.33,1
365,Stand-alone intangible installation,Morgan Mata,Romance,2012,9.89,84
366,Customizable bi-directional focus group,Kristin Farley,Mystery,2001,15.13,83
367,Polarized bandwidth-monitored throughput,Linda Newman,Fiction,1955,35.72,49
368,Reduced discrete leverage,Zachary Buchanan,Mystery,1911,20.96,90
369,Multi-lateral methodical implementation,Lauren Moore,Fantasy,1907,20.46,53
